iter	Passed	Remaining
0	58	23275
1	62	12392
2	66	8829
3	81	8034
4	95	7512
5	103	6815
6	112	6307
7	125	6125
8	132	5739
9	137	5380
10	142	5032
11	154	4989
12	161	4804
13	167	4630
14	172	4428
15	183	4410
16	191	4303
17	197	4187
18	202	4063
19	206	3925
20	220	3970
21	226	3897
22	232	3807
23	236	3705
24	249	3743
25	256	3687
26	262	3621
27	266	3540
28	277	3553
29	284	3509
30	290	3459
31	295	3403
32	300	3339
33	313	3375
34	320	3340
35	325	3288
36	329	3233
37	333	3174
38	346	3204
39	352	3176
40	358	3139
41	363	3094
42	374	3107
43	381	3087
44	388	3061
45	392	3022
46	397	2981
47	409	3001
48	416	2981
49	421	2953
50	426	2918
51	430	2880
52	442	2899
53	449	2882
54	455	2857
55	459	2824
56	471	2834
57	477	2817
58	483	2795
59	489	2771
60	493	2742
61	505	2757
62	516	2762
63	520	2732
64	523	2700
65	528	2672
66	535	2660
67	541	2645
68	546	2622
69	551	2599
70	563	2610
71	570	2600
72	576	2584
73	581	2561
74	585	2537
75	596	2543
76	603	2531
77	608	2511
78	612	2489
79	624	2497
80	631	2487
81	637	2472
82	642	2453
83	646	2433
84	660	2446
85	667	2435
86	671	2416
87	677	2400
88	687	2404
89	695	2394
90	701	2380
91	706	2364
92	710	2346
93	724	2358
94	731	2347
95	737	2335
96	742	2319
97	754	2324
98	761	2315
99	767	2303
100	772	2286
101	776	2268
102	788	2272
103	795	2263
104	801	2251
105	806	2235
106	810	2218
107	823	2225
108	830	2216
109	835	2203
110	840	2187
111	847	2178
112	854	2169
113	860	2158
114	866	2146
115	870	2131
116	882	2133
117	888	2123
118	894	2113
119	899	2099
120	904	2084
121	916	2087
122	923	2080
123	930	2070
124	935	2057
125	938	2040
126	950	2044
127	957	2034
128	963	2023
129	968	2010
130	980	2012
131	986	2002
132	992	1993
133	997	1980
134	1001	1966
135	1013	1968
136	1020	1959
137	1027	1950
138	1032	1938
139	1036	1924
140	1049	1927
141	1055	1917
142	1061	1907
143	1065	1894
144	1076	1893
145	1083	1885
146	1090	1876
147	1094	1864
148	1099	1852
149	1110	1851
150	1117	1842
151	1124	1834
152	1129	1823
153	1133	1810
154	1145	1810
155	1152	1802
156	1158	1793
